date,ratings,helpful,comment
2019-02-09,1,0,너무 느림
2019-01-03,5,0,좋아요
2018-12-31,5,1,good!
2018-12-23,1,2,별루
2019-01-12,5,0,굿
2019-01-01,5,1,굿
2018-06-19,5,49,"상당히 좋은 정보가 많습니다. 이용자중 중개업소에서 이용할 서비스가 많은데 최근에 안드로이드TV셋톱을 활용한 지도나 브리핑등을 럽체들이 
많이 쓰는 추세입니다. 안드로이드TV셋톱에서도 구동이 되도록 해 주시면 안될까요? 버전은 7.1.2입니다."
2018-08-04,2,16,앱이 자꾸 언열리네요 어디서 상담받아여하나요? 도움 부탁드립니다.
2018-08-11,5,7,좋아하는 사람이 있어서 해씀
2019-05-22,5,0,빠름
2018-07-22,4,8,굿굿
2019-11-04,4,1,좋아요
2018-06-04,5,15,국민 최고
2018-04-23,5,22,위젯 사용법좀 알려주셍
2018-05-30,5,10,디자인도 좋고 보기가 편하네요
2018-04-19,5,14,좋네요
2019-02-27,5,0,굿
2018-03-05,1,19,아니 왜 공인인증서 로그인하고 이용약관 확인하고 넘어가면 첫화면에서 계속 무한 새로고침 되나요? 백그라운드 이미지 롤링 돌리는게 오류인거 같은데... 결국엔 강제종료 했습니다. 무슨 앱을 이딴식으로 만드는지?
2018-02-13,1,4,최악... 안정성 꽝... 별 1개도 아깝다.
2018-02-06,5,8,아파트종합보고서 눌러보니 필요한 정보 상세한 정보가 가득하네요~
2018-01-30,5,9,많은 정보 감사합니다.
2018-02-15,5,6,이것저것 정보가 쓸만하네요!
2018-02-05,5,8,굿 샷 한눈에  또렸하네요 ^^
2018-01-26,5,4,상권분석 괜찮네요
2018-01-26,5,4,쩌러!!!
2018-01-29,5,6,좋아요
2018-01-27,5,5,좋습니다
2018-04-19,5,3,직방 허위매물이 너무 많음.. 그래도 대기업인데 허위는 없겠지..
2018-07-11,1,1,"도대체 국민은행 앱은 왜 이렇게 많은가요.. 국민은행은 뭐고ㅡ리브는 또뭐고, 브랜드 홍보도 안되었는데 신규서비스 그만좀 만들고. 
대표브랜드앱좀 통합시키고. 뭐할때마다새로앱깔고 회원가입하고 그러다가 없어지고 제발 사용자관점에서 서비스좀 통합하세요"
2020-05-25,5,0,고양시덕양구행신동1054번지한가람아파트101동703호 가격
2018-01-26,5,3,새로 업데이트 되었네요~ 상권분석 유용한거 같아요..
